# ----------------------------------------
# Key event attribution paths
# Account: Inspira Hotels
# Property: https://www.inspirahotels.com - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20260302
Primary channel group path,Data-driven path attributed key events,Key events,Purchase revenue,Days to key event,Touch points to key event
"[""Direct""]",NaN,326,229768.030001,0,1
"[""Organic Search""]",NaN,212,130113.579999,0.27358490566037735,1
"[""Unassigned""]",NaN,191,116249.939999,0.6230366492146597,1
"[""Unassigned"",""Unassigned""]",NaN,114,64832.779968,1.2105263157894737,2
"[""Referral""]",NaN,89,43990.389998,0.033707865168539325,1
"[""Organic Search"",""Organic Search""]",NaN,76,50053.109976,1.263157894736842,2
"[""Paid Search""]",NaN,72,42854.880001,0.2361111111111111,1
"[""Organic Search"",""Referral""]",NaN,35,15285.979967,0.3142857142857143,2
"[""Organic Search"",""Organic Search"",""Organic Search""]",NaN,34,19775.05997,1.911764705882353,3
"[""Unassigned"",""Referral""]",NaN,30,10319.499977,0.16666666666666666,2
"[""Unassigned"",""Unassigned"",""Unassigned""]",NaN,28,15306.229974,1.2857142857142858,3
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,24,15841.669972,1.625,4
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,23,12326.369982,3.0869565217391304,4
"[""Paid Social""]",NaN,23,14222.36,0.13043478260869565,1
"[""Paid Search"",""Referral""]",NaN,19,5176.139992,0.15789473684210525,2
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,14,7665.09999,1.3571428571428572,5
"[""Unassigned"",""Organic Search""]",NaN,14,7916.749988,0.8571428571428571,2
"[""Paid Search"",""Organic Search""]",NaN,13,6905.449995,0.9230769230769231,2
"[""Referral"",""Referral"",""Unassigned""]",NaN,12,2829.499996,28,3
"[""Organic Search"",""Unassigned""]",NaN,12,6699.619997,5.75,2
"[""Referral"",""Referral""]",NaN,12,8116.829998,0.3333333333333333,2
"[""Paid Social"",""Paid Social""]",NaN,11,5760.949994,0.2727272727272727,2
"[""Unassigned"",""Organic Search"",""Organic Search""]",NaN,10,7677.389993,7.8,3
"[""Paid Search"",""Paid Search""]",NaN,9,5032.91,1.7777777777777777,2
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,9,6472.379978,1.2222222222222223,6
"[""Paid Social"",""Paid Social"",""Paid Social""]",NaN,9,8863.039992,0.4444444444444444,3
"[""Unassigned"",""Unassigned"",""Referral""]",NaN,8,3850.189989,0.625,3
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,8,3963.649993,4.75,5
"[""Email""]",NaN,8,4009.5,0,1
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,7,2640.449988,18.857142857142858,8
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,7,4938.549929,11,20
"[""Organic Search"",""Organic Search"",""Referral""]",NaN,6,2305.249997,0.16666666666666666,3
"[""Cross-network""]",NaN,6,4120.35,0,1
"[""Email"",""Email""]",NaN,6,4164.989994,4.5,2
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,6,5025.999996,1.6666666666666667,7
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,6,5743.999993,11.666666666666666,7
"[""Paid Search"",""Unassigned""]",NaN,5,3441.71,0.2,2
"[""Organic Social""]",NaN,5,3975.35,0,1
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,4,1627.399979,2,10
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,4,1835.899995,7.75,12
"[""Unassigned"",""Organic Search"",""Unassigned""]",NaN,4,1857.549997,3,3
"[""Unassigned"",""Unassigned"",""Referral"",""Referral"",""Referral""]",NaN,4,2552.289995,8.5,5
"[""Organic Search"",""Referral"",""Referral""]",NaN,4,2811.309995,1,3
"[""Organic Search"",""Unassigned"",""Organic Search""]",NaN,4,2815.969995,1.25,3
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,4,3134.499984,0,8
"[""Organic Search"",""Paid Search""]",NaN,4,6254.319998,1,2
"[""Unassigned"",""Organic Search"",""Referral""]",NaN,3,799.379997,0.3333333333333333,3
"[""Email"",""Email"",""Email"",""Email"",""Email"",""Email""]",NaN,3,986.249994,2,6
"[""Unassigned"",""Referral"",""Referral"",""Referral""]",NaN,3,1012.959997,0,4
"[""Unassigned"",""Referral"",""Referral""]",NaN,3,1033.389998,3.3333333333333335,3
"[""Unassigned"",""Unassigned"",""Organic Search""]",NaN,3,1282.359994,0.3333333333333333,3
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Unassigned"",""Unassigned"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,3,1343.699998,7.333333333333333,20
"[""Paid Social"",""Unassigned""]",NaN,3,1398.459999,11,2
"[""Organic Search"",""Organic Search"",""Organic Search"",""Referral""]",NaN,3,1517.049995,7.666666666666667,4
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,3,1567.899985,4,9
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,3,1589.869991,1.6666666666666667,6
"[""Email"",""Email"",""Email""]",NaN,3,1931.939995,2.6666666666666665,3
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,3,2053.999989,11,11
"[""Organic Social"",""Organic Social""]",NaN,3,2152.25,0.6666666666666666,2
"[""Organic Search"",""Unassigned"",""Organic Search"",""Organic Search""]",NaN,3,2161.159998,14,4
"[""Organic Social"",""Organic Social"",""Organic Social""]",NaN,3,2813.649998,0.3333333333333333,3
"[""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social""]",NaN,3,2864.99999,0,5
"[""Referral"",""Referral"",""Referral""]",NaN,3,4643.649998,0.3333333333333333,3
"[""Unassigned"",""Unassigned"",""Unassigned"",""Referral""]",NaN,2,196.349999,1.5,4
"[""Paid Search"",""Referral"",""Referral""]",NaN,2,444.719999,0,3
"[""Organic Search"",""Organic Search"",""Referral"",""Organic Search"",""Referral""]",NaN,2,444.749999,1.5,5
"[""Unassigned"",""Unassigned"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,2,566.749997,23,8
"[""Unassigned"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral""]",NaN,2,597.969995,1,10
"[""Organic Social"",""Referral""]",NaN,2,688.079998,0,2
"[""Paid Search"",""Unassigned"",""Unassigned""]",NaN,2,865,2,3
"[""Paid Search"",""Paid Search"",""Paid Search""]",NaN,2,917.6,0.5,3
"[""Unassigned"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,2,999.999998,0.5,4
"[""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social""]",NaN,2,1043.99999,0,6
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,2,1079.999987,0,14
"[""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Referral""]",NaN,2,1081.619994,0,5
"[""Unassigned"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,2,1150,20.5,5
"[""Referral"",""Organic Search""]",NaN,2,1207.249998,0,2
"[""Unassigned"",""Paid Search""]",NaN,2,1327.929998,0.5,2
"[""Referral"",""Referral"",""Referral"",""Referral"",""Referral""]",NaN,2,1338.119995,2.5,5
"[""Paid Search"",""Paid Search"",""Organic Search""]",NaN,2,1470.459999,0,3
"[""Organic Search"",""Organic Search"",""Unassigned""]",NaN,2,1495.899998,3,3
"[""Email"",""Organic Search"",""Organic Search""]",NaN,2,1732.799999,0,3
"[""Email"",""Email"",""Email"",""Email""]",NaN,2,1754.059996,0,4
"[""Referral"",""Referral"",""Referral"",""Referral""]",NaN,2,1849.649995,3,4
"[""Unassigned"",""Unassigned"",""Paid Search""]",NaN,2,2393.999999,1.5,3
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,2,3745.999972,12,18
"[""Paid Social"",""Paid Social"",""Organic Search""]",NaN,1,0,0,3
"[""Organic Search"",""Unassigned"",""Unassigned"",""Referral""]",NaN,1,0,0,4
"[""Paid Search"",""Paid Search"",""Referral"",""Referral""]",NaN,1,0,0,4
"[""Organic Search"",""Unassigned"",""Unassigned"",""Organic Search"",""Referral""]",NaN,1,0,0,5
"[""Paid Search"",""Organic Search"",""Organic Search"",""Unassigned"",""Organic Search""]",NaN,1,0,0,5
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search""]",NaN,1,0,0,6
"[""Unassigned"",""Organic Search"",""Unassigned"",""Unassigned"",""Unassigned"",""Organic Search""]",NaN,1,0,0,6
"[""Unassigned"",""Referral"",""Referral"",""Referral"",""Unassigned"",""Referral""]",NaN,1,0,0,6
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral""]",NaN,1,0,0,10
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,1,0,0,13
"[""Unassigned"",""Paid Search"",""Unassigned"",""Unassigned""]",NaN,1,0,1,4
"[""Organic Search"",""Paid Search"",""Unassigned"",""Unassigned"",""Unassigned"",""Organic Search"",""Paid Search""]",NaN,1,0,1,7
"[""Organic Search"",""Referral"",""Referral"",""Referral"",""Referral"",""Organic Search"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral""]",NaN,1,0,1,11
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Social"",""Organic Social"",""Organic Social"",""Unassigned"",""Unassigned"",""Unassigned"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,1,0,1,20
"[""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email""]",NaN,1,0,3,7
