# ----------------------------------------
# Traffic with month
# Account: Inspira Hotels
# Property: https://www.inspirahotels.com - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20260302
Month,Year,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
01,2024,16888,11339,0.6714234959734723,48.50444102321175,8.16621269540502,137911,0,0,0
03,2023,14978,9996,0.6673788222726665,50.26392041661103,8.869809053278141,132852,0,0,0
04,2024,14807,7444,0.5027351928142095,38.126021476328766,7.458026609036267,110431,58,0.003781995002363747,40076.55
05,2024,13908,6965,0.5007909117054933,41.16601955708944,7.540696002300834,104876,56,0.0039545585274662065,37161.4
02,2024,12980,7592,0.5848998459167951,53.22935285053929,8.39869029275809,109015,45,0.003389830508474576,28901.95
03,2024,12179,5767,0.4735199934313162,45.59627227194351,7.633795878150916,92972,41,0.0033664504474915837,25740.95
04,2023,12024,7617,0.6334830339321357,47.353626081170994,8.176064537591484,98309,0,0,0
11,2025,11974,6219,0.5193753131785536,35.8829964924002,7.603223651244363,91041,70,0.005177885418406547,33873.55
10,2025,11860,6313,0.5322934232715009,34.76070826306914,7.445193929173693,88300,50,0.003962900505902193,21587.07
02,2023,11277,7607,0.6745588365700097,51.94830185332979,12.390618072182319,139729,0,0,0
01,2026,10879,5360,0.4926923430462359,43.07693721849434,7.771210589208567,84543,71,0.006250574501332843,47665.1
02,2026,10706,5120,0.47823650289557257,42.276200261535585,7.617410797683542,81552,62,0.0055109284513357,35489.49
05,2023,10369,6458,0.6228180152377278,49.42829588195583,10.178609316231073,105542,0,0,0
06,2023,10036,5998,0.5976484655241132,45.21163810282981,7.539159027500997,75663,0,0,0
01,2025,9915,5490,0.5537065052950075,60.011296016137166,9.571558245083207,94902,94,0.008976298537569339,58671.07
12,2025,9624,4211,0.43755195344970904,34.28065253532834,6.886221945137157,66273,70,0.005714879467996675,36738
07,2023,9548,5819,0.6094470046082949,53.76267281105991,8.919669040636782,85165,0,0,0
09,2025,9059,4527,0.4997240313500386,48.87206093387791,8.560437134341539,77549,73,0.007506347278949111,34080.18
08,2023,8896,6257,0.7033498201438849,56.71335431654676,9.15669964028777,81458,0,0,0
02,2025,8875,5054,0.5694647887323944,57.30230985915493,9.65081690140845,85651,140,0.015661971830985916,92446.43
03,2025,8511,4837,0.568323346257784,69.32863353307485,10.224532957349313,87021,107,0.012101985665609211,74824.4
10,2023,8379,6318,0.7540279269602578,64.18808927079604,9.683494450411743,81138,0,0,0
07,2025,8238,4744,0.5758679291090071,63.108521485797525,12.706117989803351,104673,88,0.010318038358824957,50211.39
09,2023,7880,5749,0.7295685279187817,64.18769035532995,9.138578680203045,72012,0,0,0
08,2025,7840,4432,0.5653061224489796,58.41543367346939,9.33265306122449,73168,84,0.010331632653061225,43664.77
06,2024,7717,4154,0.5382920824154465,53.64817934430478,8.578851885447714,66203,69,0.008811714396786316,50885.55
05,2025,7465,4273,0.5724045545880777,57.10689886135298,10.236302746148693,76414,101,0.013261888814467515,47754.25
12,2023,7393,5210,0.704720681725957,60.98255106181523,8.618693358582442,63718,0,0,0
11,2023,7001,4832,0.6901871161262677,53.02542493929439,7.994143693758034,55967,0,0,0
07,2024,6651,3716,0.5587129754924072,52.035333032626674,9.078033378439333,60378,40,0.006014133213050669,24569.4
08,2024,6554,3684,0.5620994812328349,85.93896856881294,10.693927372596887,70088,51,0.007476350320415014,31747.05
04,2025,6512,3802,0.5838452088452089,57.08399877149877,10.021652334152334,65261,67,0.00998157248157248,41024.98
10,2024,6442,3749,0.5819621235641105,55.84306116113008,9.151350512263273,58953,45,0.006985408258304874,29907.4
06,2025,6441,3564,0.5533302282254309,58.10138177301661,10.561248253376805,68025,101,0.014749262536873156,61093.58
12,2024,6290,3596,0.5717011128775835,58.29316375198728,8.88966613672496,55916,74,0.011605723370429253,45518.14
09,2024,6071,3528,0.581123373414594,58.649810574864105,9.61851424806457,58394,73,0.011859660681930489,48328.62
11,2024,6031,3584,0.5942629746310728,69.99204112087547,10.620958381694578,64055,85,0.013928038467915769,53083.37
03,2026,755,323,0.4278145695364238,34.4317880794702,6.678145695364239,5042,2,0.0026490066225165563,1227
