# ----------------------------------------
# Non-Google campaign: Session campaign
# Account: Inspira Hotels
# Property: https://www.inspirahotels.com - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20260302
Session campaign,Active users,Sessions,Engaged sessions,Ads clicks,Ads cost,Ads impressions,Ads cost per click,Key events,Cost per key event,Total revenue,Return on ad spend
(organic),95668,130823,91348,0,0,0,0,968,0,559237.67,0
(referral),29394,35152,14919,0,0,0,0,97,0,67838.73,0
rmktg_en,2053,2789,1108,0,0,0,0,1,0,1512,0
propspg_es,954,999,354,0,0,0,0,0,0,0,0
flasheng,931,1086,654,0,0,0,0,12,0,6157.52,0
basa_eus,901,929,426,0,0,0,0,0,0,0,0
rmktg_fr,737,877,282,0,0,0,0,0,0,0,0
prestayeng,713,859,384,0,0,0,0,0,0,0,0
rmktg_es,641,903,319,0,0,0,0,0,0,0,0
prospint_eu,523,562,232,0,0,0,0,0,0,0,0
summereng,449,495,298,0,0,0,0,0,0,0,0
TripadvisorDirect,406,542,406,0,0,0,0,20,0,19299.13,0
flashpt,389,479,316,0,0,0,0,3,0,1308.2,0
GHADirect,375,498,386,0,0,0,0,25,0,13158.53,0
usa2,368,372,10,0,0,0,0,0,0,0,0
TrivagoDirect,366,481,378,0,0,0,0,27,0,13095.13,0
uk2,331,332,12,0,0,0,0,0,0,0,0
propspg_fr,309,330,133,0,0,0,0,0,0,0,0
6911237615132,307,310,13,0,0,0,0,0,0,0,0
basa_us,306,327,212,0,0,0,0,0,0,0,0
6911020497732,302,306,22,0,0,0,0,0,0,0,0
ihdinner,299,421,165,0,0,0,0,0,0,0,0
pg_flash40_en,277,312,177,0,0,0,0,0,0,0,0
MyBusiness,263,400,305,0,0,0,0,0,0,0,0
prospint_us,263,268,108,0,0,0,0,0,0,0,0
flashfr,253,306,196,0,0,0,0,1,0,300,0
jseng,242,303,171,0,0,0,0,2,0,894.6,0
pt1,238,239,39,0,0,0,0,0,0,0,0
propspg_eng,237,245,103,0,0,0,0,0,0,0,0
basa_esp,230,249,92,0,0,0,0,0,0,0,0
6837644261932,215,218,35,0,0,0,0,0,0,0,0
xmaseng,191,224,149,0,0,0,0,0,0,0,0
propspg_pt,185,185,15,0,0,0,0,0,0,0,0
prestaypt,177,220,62,0,0,0,0,0,0,0,0
6834007792132,173,176,9,0,0,0,0,0,0,0,0
6818738785732,170,170,8,0,0,0,0,0,0,0,0
bfeng,158,192,125,0,0,0,0,2,0,1470,0
rmktg_pt,144,161,38,0,0,0,0,0,0,0,0
look_es,142,144,32,0,0,0,0,0,0,0,0
flashesp,141,168,112,0,0,0,0,0,0,0,0
pg_flash40_pt,124,144,79,0,0,0,0,0,0,0,0
web_link,112,123,116,0,0,0,0,0,0,0,0
pt2,109,117,32,0,0,0,0,0,0,0,0
pg_flash40_fr,96,105,76,0,0,0,0,0,0,0,0
prestayes,96,109,43,0,0,0,0,1,0,157.68,0
basa_fr,90,90,24,0,0,0,0,0,0,0,0
jsfr,83,94,37,0,0,0,0,1,0,158.95,0
rmktg_esp,77,100,37,0,0,0,0,0,0,0,0
prestayfr,71,95,48,0,0,0,0,0,0,0,0
pmaxuk,67,73,8,0,0,0,0,0,0,0,0
staylonger,62,87,42,0,0,0,0,0,0,0,0
jsesp,61,64,47,0,0,0,0,0,0,0,0
edbeng,57,69,36,0,0,0,0,0,0,0,0
bfpt,56,73,54,0,0,0,0,2,0,511.56,0
booking-summary,56,111,74,0,0,0,0,4,0,1417.55,0
pg_flash40_es,56,62,39,0,0,0,0,0,0,0,0
mice,52,61,42,0,0,0,0,0,0,0,0
fev25eng,48,59,31,0,0,0,0,0,0,0,0
nyeng,48,51,29,0,0,0,0,0,0,0,0
eastereng,47,56,29,0,0,0,0,1,0,1529.5,0
mayeng,47,53,25,0,0,0,0,0,0,0,0
pmaxus,47,48,5,0,0,0,0,0,0,0,0
januarysale,44,47,26,0,0,0,0,0,0,0,0
ihgxmas,38,47,22,0,0,0,0,0,0,0,0
look_fr,38,38,12,0,0,0,0,0,0,0,0
summeresp,38,43,24,0,0,0,0,0,0,0,0
nypt,37,41,27,0,0,0,0,0,0,0,0
bffr,36,39,16,0,0,0,0,0,0,0,0
lasteng,36,45,19,0,0,0,0,0,0,0,0
post2402,35,35,11,0,0,0,0,0,0,0,0
uk1,35,35,5,0,0,0,0,0,0,0,0
post1002,34,34,5,0,0,0,0,0,0,0,0
rmktg_eng,34,37,24,0,0,0,0,0,0,0,0
bfesp,33,46,29,0,0,0,0,2,0,261.66,0
ads,31,37,31,0,0,0,0,1,0,749.08,0
post1802,31,32,11,0,0,0,0,0,0,0,0
EN Flash Sales August 2025 II-755170,30,36,20,0,0,0,0,0,0,0,0
6868069978532,29,32,11,0,0,0,0,0,0,0,0
post0902,28,28,4,0,0,0,0,0,0,0,0
cancel-booking,27,40,28,0,0,0,0,0,0,0,0
post1402,27,27,9,0,0,0,0,0,0,0,0
summerfr,26,30,21,0,0,0,0,0,0,0,0
lateeng,25,31,20,0,0,0,0,0,0,0,0
post2801,25,25,4,0,0,0,0,0,0,0,0
winterfr,22,32,12,0,0,0,0,0,0,0,0
lastesp,20,21,12,0,0,0,0,0,0,0,0
offers,20,85,46,0,0,0,0,0,0,0,0
postflash2102,20,20,8,0,0,0,0,0,0,0,0
Republica+|+Inspira+Liberdade+-+Engagement,19,19,17,0,0,0,0,0,0,0,0
Republica | Inspira Liberdade - Engagement,18,18,0,0,0,0,0,0,0,0,0
post0202,18,18,5,0,0,0,0,0,0,0,0
post0502,18,18,1,0,0,0,0,0,0,0,0
post2102,18,18,3,0,0,0,0,0,0,0,0
amp_en,17,17,4,0,0,0,0,0,0,0,0
6286362271132,16,17,11,0,0,0,0,0,0,0,0
Hotels for Your Lisbon Stay Future Days 2024,16,21,12,0,0,0,0,0,0,0,0
maifr,16,18,15,0,0,0,0,0,0,0,0
post2002,16,17,4,0,0,0,0,0,0,0,0
6541224326332,15,15,9,0,0,0,0,0,0,0,0
fhzzfefat,15,15,11,0,0,0,0,0,0,0,0
lastfr,15,19,9,0,0,0,0,0,0,0,0
post1602,15,15,7,0,0,0,0,0,0,0,0
flashsaleen,14,14,3,0,0,0,0,0,0,0,0
jsbr,14,17,12,0,0,0,0,0,0,0,0
lmpt,14,14,8,0,0,0,0,0,0,0,0
valentinespt,14,14,10,0,0,0,0,0,0,0,0
(direct),13,13,7,0,0,0,0,0,0,0,0
pascoafr,13,17,13,0,0,0,0,0,0,0,0
pg_pascoa_es,13,19,12,0,0,0,0,0,0,0,0
post0402,13,13,1,0,0,0,0,0,0,0,0
usa1,13,13,1,0,0,0,0,0,0,0,0
fev25fr,12,13,7,0,0,0,0,0,0,0,0
ihgxmaseng,12,13,4,0,0,0,0,0,0,0,0
jsus,12,14,2,0,0,0,0,0,0,0,0
post0602,12,12,4,0,0,0,0,0,0,0,0
post2602,12,12,2,0,0,0,0,0,0,0,0
post3001,12,12,2,0,0,0,0,0,0,0,0
staylongeresp,12,16,8,0,0,0,0,0,0,0,0
festiveseason,11,12,5,0,0,0,0,0,0,0,0
pascoaesp,11,11,4,0,0,0,0,0,0,0,0
amp,10,10,4,0,0,0,0,0,0,0,0
fev25esp,10,12,8,0,0,0,0,0,0,0,0
flashsalefr,10,10,1,0,0,0,0,0,0,0,0
inspiraperks,10,12,7,0,0,0,0,0,0,0,0
post0302,10,10,2,0,0,0,0,0,0,0,0
post0702,10,10,1,0,0,0,0,0,0,0,0
lastcallpt,9,9,5,0,0,0,0,0,0,0,0
rmktg_geral,9,9,0,0,0,0,0,0,0,0,0
staylongereng,9,9,3,0,0,0,0,0,0,0,0
stay3pay2eng,8,38,27,0,0,0,0,0,0,0,0
veranoesp,8,9,7,0,0,0,0,0,0,0,0
6152883219732,7,16,5,0,0,0,0,0,0,0,0
ES Flash Sales August 2025-755157,7,7,6,0,0,0,0,0,0,0,0
lateesp,7,7,2,0,0,0,0,0,0,0,0
latefr,7,11,5,0,0,0,0,0,0,0,0
basa_es,6,6,1,0,0,0,0,0,0,0,0
ceffgblfat,6,6,5,0,0,0,0,0,0,0,0
pg_january20_en,6,8,6,0,0,0,0,0,0,0,0
FR Flash Sales Août 2025-755166,5,5,4,0,0,0,0,0,0,0,0
PT Flash Sales Agosto 2025-755118,5,7,4,0,0,0,0,0,0,0,0
natalmicept,5,7,5,0,0,0,0,0,0,0,0
pg_bpi_en,5,6,4,0,0,0,0,0,0,0,0
ceffgblcg,4,5,4,0,0,0,0,0,0,0,0
pg_fs45_en,4,4,1,0,0,0,0,0,0,0,0
aybfufat,3,3,0,0,0,0,0,0,0,0,0
junpt,3,3,3,0,0,0,0,0,0,0,0
newyearseve,3,3,0,0,0,0,0,0,0,0,0
ny,3,3,2,0,0,0,0,0,0,0,0
pg_fs4_en,3,4,3,0,0,0,0,0,0,0,0
reveillon,3,3,0,0,0,0,0,0,0,0,0
rmktg_fr_v,3,3,1,0,0,0,0,0,0,0,0
staylonger_us,3,4,3,0,0,0,0,2,0,1760.64,0
summerpt,3,3,2,0,0,0,0,0,0,0,0
248b346de1-EMAIL_CAMPAIGN_2025_02_25_09_48,2,3,2,0,0,0,0,0,0,0,0
cumpleanos-ing,2,2,2,0,0,0,0,0,0,0,0
earlyfr,2,10,7,0,0,0,0,0,0,0,0
longerbr,2,2,1,0,0,0,0,0,0,0,0
nl-alojamientos-santa-eularia-des-riu-inscritos-esp,2,2,2,0,0,0,0,0,0,0,0
pg_january40_pt,2,2,2,0,0,0,0,0,0,0,0
springfr,2,2,0,0,0,0,0,0,0,0,0
ce,1,1,1,0,0,0,0,0,0,0,0
cumpleanos-ita-copia,1,1,1,0,0,0,0,0,0,0,0
edbpt,1,1,1,0,0,0,0,0,0,0,0
fev25us,1,2,2,0,0,0,0,0,0,0,0
hotelinking_guest_loyalty,1,2,2,0,0,0,0,0,0,0,0
love,1,1,1,0,0,0,0,0,0,0,0
maiobr,1,1,1,0,0,0,0,0,0,0,0
maioesp,1,1,1,0,0,0,0,0,0,0,0
melhor oferta,1,1,1,0,0,0,0,0,0,0,0
nl-alojamientos-santa-eularia-des-riu-inscritos-eng,1,1,1,0,0,0,0,0,0,0,0
pg_bpi_es,1,1,1,0,0,0,0,0,0,0,0
pg_fs45_pt,1,1,1,0,0,0,0,0,0,0,0
pg_fs4_es,1,1,1,0,0,0,0,0,0,0,0
pg_fs4_fr,1,1,1,0,0,0,0,0,0,0,0
pg_january40_fr,1,1,0,0,0,0,0,0,0,0,0
springesp,1,1,1,0,0,0,0,0,0,0,0
staylongereng_us,1,1,0,0,0,0,0,0,0,0,0
stories_organic,1,3,3,0,0,0,0,0,0,0,0
verao2020,1,1,0,0,0,0,0,0,0,0,0
wbahbelfbyf,1,1,1,0,0,0,0,0,0,0,0
zalo,1,1,0,0,0,0,0,0,0,0,0
print-summary,0,1,0,0,0,0,0,0,0,0,0
