# ----------------------------------------
# Traffic acquisition: Session primary channel group (Default channel group)
# Account: Inspira Hotels
# Property: https://www.inspirahotels.com - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20260302
Session primary channel group (Default channel group),Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Unassigned,74804,47652,0.6370247580343297,78.8645526977167,11.113991230415486,831371,688,0.008756216245120583,405737.02
Organic Search,73476,49579,0.6747645489683706,65.3143883717132,10.41387663999129,765170,533,0.007022701290217214,319605.01
Direct,59743,31208,0.5223708216862226,42.192474432151045,7.785045946805483,465102,288,0.004619788092328808,181598.18
Paid Search,51276,29089,0.5673024416881192,39.28943365317107,8.326722053202278,426961,149,0.002847335985646306,81362.5
Cross-network,40369,23845,0.5906760137729445,31.71725829225396,7.084718472094925,286003,11,0.00027248631375560457,6104.55
Referral,26364,9311,0.3531709907449552,27.770103170990744,6.594940069792141,173869,35,0.0012517068730086482,23850.61
Paid Social,13334,5620,0.4214789260536973,34.2008399580021,7.264961751912405,96871,51,0.0036748162591870408,36257.11
Email,6952,3942,0.5670310701956272,37.94102416570771,6.476121979286536,45022,33,0.00431530494821634,15927.86
Organic Social,5524,3261,0.5903330919623462,38.73207820419986,6.717595944967415,37108,27,0.004887762490948588,24601.8
Organic Video,45,18,0.4,23.6,5.377777777777778,242,0,0,0
Paid Other,35,12,0.34285714285714286,1.4285714285714286,3.4,119,0,0,0
