# ----------------------------------------
# User acquisition: First user primary channel group (Default channel group)
# Account: Inspira Hotels
# Property: https://www.inspirahotels.com - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20260302
First user primary channel group (Default channel group),Total users,New users,Returning users,Average engagement time per active user,Engaged sessions per active user,Event count,Key events,User key event rate
Direct,53547,49098,6698,66.0550629694471,0.6787522825248019,590799,452,0.007925302611020124
Organic Search,53099,52479,8878,87.57703038986502,0.9073976321544378,744722,512,0.009049091320413242
Unassigned,49932,49984,8363,94.35794873850223,0.9284984268852328,723775,509,0.009478767960561912
Paid Search,41674,41124,4842,47.2966604957565,0.6746327507032434,414873,149,0.0034380785228283607
Cross-network,34491,34341,3501,36.588069747874776,0.6830301447761628,282138,8,0.00023210607247512114
Referral,21714,21890,1637,54.09562047164152,0.4169550971433846,195401,75,0.0027689325764917623
Paid Social,11201,11094,807,41.53207885304659,0.5053763440860215,97490,57,0.00492831541218638
Email,5427,5522,487,45.37973047812442,0.6896806350378438,42503,29,0.004430496584825549
Organic Social,4717,4653,267,44.088704530950864,0.65645607317592,35763,24,0.0048925760476494365
Organic Video,39,39,6,28.307692307692307,0.5128205128205128,257,0,0
Paid Other,32,30,1,1.5625,0.375,117,0,0
