Month,Year,Campaign_type,Campaign,Ad_group,Impressions,Clicks,Conversions,Value_per_conv,All_conv_rate,All_conv_value,CTR,Search_impr_share,Cost
2015-02-01,2015,Search,Search_Brand_USA,Spa,1,1,0.0,0.0,0.0,0.0,100.0,14.29,0.77
2015-02-01,2015,Search,Search_Brand_USA,Location,3,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
2015-02-01,2015,Search,Search_Brand_BR,Localização,4,0,0.0,0.0,0.0,0.0,0.0,37.5,0.0
2015-02-01,2015,Search,Search_Brand_BR,Geral,338,1,1.0,0.0,100.0,0.0,0.3,28.27,1.84
2015-03-01,2015,Search,Search_Brand_USA,Geral,10932,27,18.0,0.0,66.67,0.0,0.25,40.43,141.54
2015-03-01,2015,Search,Search_Brand_USA,Spa,76,0,0.0,0.0,0.0,0.0,0.0,21.07,0.0
2015-03-01,2015,Search,Search_Brand_USA,Location,74,0,0.0,0.0,0.0,0.0,0.0,16.81,0.0
2015-03-01,2015,Search,Search_Brand_USA,Preço,1,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
2015-03-01,2015,Search,Search_Brand_BR,Localização,140,1,1.0,0.0,100.0,0.0,0.71,40.74,2.09
2015-03-01,2015,Search,Search_Brand_BR,Spa,32,4,4.0,0.0,100.0,0.0,12.5,43.84,4.51
2015-03-01,2015,Search,Search_Brand_BR,Geral,17151,59,50.0,0.0,84.75,0.0,0.34,60.23,141.97
2015-03-01,2015,Search,Search_Brand_BR,Negócios,1,0,0.0,0.0,0.0,0.0,0.0,33.33,0.0
2015-03-01,2015,Search,Search_Brand_BR,Preço,17,0,0.0,0.0,0.0,0.0,0.0,30.36,0.0
2015-03-01,2015,Search,Search_Brand_BR,Feng Shui / Eco,7,0,0.0,0.0,0.0,0.0,0.0,46.15,0.0
2015-03-01,2015,Search,Search_Brand_ESP,Geral,23352,73,56.0,0.0,76.71,0.0,0.31,25.53,165.97
2015-03-01,2015,Search,Search_Brand_ESP,Spa,571,9,7.0,0.0,77.78,0.0,1.58,39.41,20.88
2015-03-01,2015,Search,Search_Brand_BR_2,Brand,3,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
2015-03-01,2015,Search,Search_Brand_BR_2,Centro de Lisboa,51,1,0.0,0.0,0.0,0.0,1.96,5.0,0.08
2015-03-01,2015,Search,Search_Brand_BR_2,Feng Shui,12,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
2015-03-01,2015,Search,Search_Brand_BR_2,Boutique Hotel,6,0,0.0,0.0,0.0,0.0,0.0,31.58,0.0
2015-03-01,2015,Search,Remarketing_BR,Geral,681,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
2015-03-01,2015,Search,Remarketing_ESP,Geral,38,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
2015-04-01,2015,Search,Search_Brand_BR,Geral,1,0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
2015-04-01,2015,Search,Search_Brand_ESP,Geral,1,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
2015-04-01,2015,Search,Search_Brand_BR_2,Centro de Lisboa,2,0,0.0,0.0,0.0,0.0,0.0,12.5,0.0
