Keyword,Match_type,Campaign,Ad_group,Year,Quality_score,Month,Cost,Impressions,Clicks,CTR,Conversions,All_conv_value,Value_per_conv,Search_impr_share
hotel in lisbon,Phrase match,Search_Brand_USA,Geral,2015,,2015-03-01,8.73,432,2,0.46,0.0,0.0,0.0,51.02
hotel in lisbon portugal,Phrase match,Search_Brand_USA,Geral,2015,,2015-02-01,0.0,1,0,0.0,0.0,0.0,0.0,50.0
hotel in lisbon portugal,Phrase match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,146,0,0.0,0.0,0.0,0.0,60.17
hotel in lisbon,Exact match,Search_Brand_USA,Geral,2015,,2015-02-01,0.0,4,0,0.0,0.0,0.0,0.0,100.0
hotel in lisbon,Exact match,Search_Brand_USA,Geral,2015,,2015-03-01,6.39,224,1,0.45,0.0,0.0,0.0,85.6
hotel in lisbon portugal,Exact match,Search_Brand_USA,Geral,2015,,2015-02-01,0.0,4,0,0.0,0.0,0.0,0.0,100.0
hotel in lisbon portugal,Exact match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,199,0,0.0,0.0,0.0,0.0,78.4
hotel rooms in lisbon,Exact match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,1,0,0.0,0.0,0.0,0.0,
booking lisbon,Phrase match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,5,0,0.0,0.0,0.0,0.0,42.86
boutique hotel lisbon,Phrase match,Search_Brand_USA,Geral,2015,,2015-02-01,0.0,1,0,0.0,0.0,0.0,0.0,50.0
boutique hotel lisbon,Phrase match,Search_Brand_USA,Geral,2015,,2015-03-01,5.96,91,1,1.1,1.0,0.0,0.0,45.0
lisbon boutique hotel,Phrase match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,5,0,0.0,0.0,0.0,0.0,66.67
boutique hotel portugal,Phrase match,Search_Brand_USA,Geral,2015,,2015-02-01,0.0,1,0,0.0,0.0,0.0,0.0,100.0
boutique hotel portugal,Phrase match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,5,0,0.0,0.0,0.0,0.0,25.0
visiting lisbon portugal,Phrase match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,9,0,0.0,0.0,0.0,0.0,25.0
lisbon city hotel,Exact match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,19,0,0.0,0.0,0.0,0.0,5.0
best hotels in lisbon,Phrase match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,8,0,0.0,0.0,0.0,0.0,5.0
best hotel in lisbon,Phrase match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,3,0,0.0,0.0,0.0,0.0,10.0
best hotel lisbon,Phrase match,Search_Brand_USA,Geral,2015,,2015-02-01,0.0,1,0,0.0,0.0,0.0,0.0,25.0
best hotel lisbon,Phrase match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,44,0,0.0,0.0,0.0,0.0,35.48
Lisbon hotel Portugal,Phrase match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,5,0,0.0,0.0,0.0,0.0,100.0
hotel_brand property_2 hotel,Exact match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,35,0,0.0,0.0,0.0,0.0,58.14
hotel hotel_brand property_2,Exact match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,4,0,0.0,0.0,0.0,0.0,100.0
hotel_brand property_2,Exact match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,15,0,0.0,0.0,0.0,0.0,87.5
 +hotels +lisbon,Broad match,Search_Brand_USA,Geral,2015,,2015-03-01,50.17,5934,10,0.17,7.0,0.0,0.0,64.55
